Trail Camera, 5, 4, 1060, 299, 151, 0.96, 0.968, 0.512, https://app.roboflow.com/roboflow-100/trail-camera/1
Cell Towers, 4, 25, 191, 53, 36, 0.926, 0.809, 0.053, https://app.roboflow.com/roboflow-100/cell-towers/1
Far Cry 6, 5, 0, 156, 45, 21, 0.763, 0.475, 0.248, https://app.roboflow.com/roboflow-1100/farcry6-1videogame/1
CSGO, 10, 0, 576, 155, 82, 0.978, 0.439, 0.184, https://app.roboflow.com/roboflow-1100/csgo-1videogame/1
Avatar Recognition, 1, 3, 225, 59, 30, 0.859, 0.92, 0.367, https://app.roboflow.com/roboflow-1100/avatar-1recognition-1nuexe/1
Halo Infinite Angel, 4, 4, 462, 136, 71, 0.942, 0.911, 0.173, https://app.roboflow.com/roboflow-1100/halo-1infinite-1angel-1videogame/1
Team Fight Tactics, 59, 88, 1162, 307, 112 , 0.969, 0.966, 0, https://app.roboflow.com/roboflow-1100/team-1fight-1tactics/1
Robomasters, 9, 27, 1945, 556, 278, 0.807, 0.735, 0.003, https://app.roboflow.com/roboflow-1100/robomasters-1285km/1
Underwater Pipes, 1, 316, 5617, 1575, 779, 0.995, 0.995, 0.733, https://app.roboflow.com/roboflow-1100/underwater-1pipes-14ng4t/1
Aquarium, 7, 0, 448, 127, 63, 0.762, 0.789, 0.195, https://app.roboflow.com/roboflow-1100/aquarium-1qlnqy/1
Peixos Fish, 12, 0, 821, 261, 118, 0.145, 0.144, 0.004, https://app.roboflow.com/roboflow-1100/peixos-1fish/1
Underwater Objects, 5, -1, 5320, 1520, 760 , 0.723, 0.572, 0.005, https://app.roboflow.com/roboflow-1100/underwater-1objects-15v7p8/1
Coral, 14, 165, 427, 93, 74, 0.185, 0.19, 0.001, https://app.roboflow.com/roboflow-1100/coral-1lwptl/1
Stomata Cells, 2, -1, 1482, 414, 209, 0.836, 0.861, 0.012, https://app.roboflow.com/roboflow-1100/stomata-1cells/1
BCCD, 3, -1, 255, 73, 36, 0.328, 0.905, 0.191, https://app.roboflow.com/roboflow-1100/bccd-1ouzjz/1
Parasites, 8, 0, 1484, 411, 215, 0.847, 0.879, 0.036, https://app.roboflow.com/roboflow-1100/parasites-11s07h/1
Cells, 1, 210, 16, 4, 2, 0.821, -1, 0.005, https://app.roboflow.com/roboflow-1100/cells-1uyemf/1
