dataset,category,train,test,valid,size,num_classes,yolov5,yolov7,yolov8,glip,num_datasets
phages,microscopic,1155,103,164,1422,2.0,0.854,0.842,0.839,0.002,1
liver-disease,microscopic,2782,400,794,3976,4.0,0.592,0.583,0.576,0.0,1
asbestos,microscopic,932,133,266,1331,4.0,0.596,0.611,0.631,0.007,1
underwater-pipes-4ng4t,underwater,5617,779,1575,7971,1.0,0.995,0.998,0.995,0.733,1
aquarium-qlnqy,underwater,448,63,127,638,7.0,0.79,0.822,0.781,0.195,1
peixos-fish,underwater,821,118,261,1200,12.0,0.148,0.821,0.809,0.004,1
underwater-objects-5v7p8,underwater,5320,760,1520,7600,5.0,0.693,0.453,0.728,0.005,1
coral-lwptl,underwater,427,74,93,594,14.0,0.174,0.218,0.199,0.001,1
tweeter-posts,documents,87,9,21,117,2.0,0.708,0.495,0.866,0.005,1
tweeter-profile,documents,425,61,121,607,1.0,0.988,0.99,0.987,0.002,1
document-parts,documents,906,150,318,1374,2.0,0.677,0.666,0.67,0.033,1
activity-diagrams-qdobr,documents,259,45,74,378,19.0,0.427,0.509,0.705,0.002,1
signatures-xc8up,documents,257,37,74,368,1.0,0.961,0.932,0.941,0.082,1
paper-parts,documents,8472,1209,2359,12040,46.0,0.59,0.796,0.78,0.007,1
tabular-data-wf9uh,documents,3251,206,409,3866,12.0,0.752,0.782,0.78,0.018,1
paragraphs-co84b,documents,4209,633,1221,6063,7.0,0.626,0.61,0.653,0.0,1
thermal-dogs-and-people-x6ejw,electromagnetic,142,20,41,203,2.0,0.967,0.957,0.976,0.47,1
solar-panels-taxvb,electromagnetic,112,19,30,161,5.0,0.413,0.261,0.761,0.0,1
radio-signal,electromagnetic,1954,278,566,2798,2.0,0.673,0.653,0.695,0.066,1
thermal-cheetah-my4dp,electromagnetic,90,14,25,129,2.0,0.931,0.513,0.945,0.028,1
x-ray-rheumatology,electromagnetic,135,16,34,185,12.0,0.722,0.506,0.858,0.0,1
acl-x-ray,electromagnetic,2141,306,612,3059,1.0,0.995,0.998,0.995,0.0,1
abdomen-mri,electromagnetic,1887,238,479,2604,1.0,0.965,0.958,0.962,0.021,1
axial-mri,electromagnetic,253,39,79,371,2.0,0.638,0.549,0.637,0.039,1
gynecology-mri,electromagnetic,2122,253,526,2901,3.0,0.323,0.171,0.288,0.0,1
brain-tumor-m2pbp,electromagnetic,6930,990,1980,9900,3.0,0.768,0.809,,0.003,1
bone-fracture-7fylg,electromagnetic,326,44,88,458,4.0,0.0851,0.0896,,0.0,1
flir-camera-objects,electromagnetic,9306,1452,2854,13612,4.0,0.796,0.824,0.782,0.073,1
hand-gestures-jps7z,real world,642,94,178,914,14.0,0.995,0.995,0.994,,1
smoke-uvylj,real world,522,76,148,746,1.0,0.959,0.962,0.975,0.431,1
wall-damage,real world,325,40,96,461,3.0,0.5,0.434,0.571,,1
corrosion-bi3q3,real world,840,105,304,1249,3.0,0.768,0.764,0.735,0.003,1
excavators-czvg9,real world,2244,144,267,2655,3.0,0.946,0.895,0.922,0.274,1
chess-pieces-mjzgj,real world,202,29,58,289,13.0,0.977,0.83,0.988,0.017,1
road-signs-6ih4y,real world,1376,229,488,2093,21.0,0.963,0.944,0.973,0.036,1
street-work,real world,611,87,175,873,11.0,0.478,0.708,0.693,0.148,1
construction-safety-gsnvb,real world,997,90,119,1206,5.0,0.915,0.915,0.874,0.259,1
road-traffic,real world,494,133,187,814,12.0,0.597,0.847,0.798,,1
washroom-rf1fa,real world,1885,318,775,2978,10.0,0.619,0.634,0.62,0.146,1
circuit-elements,real world,672,36,64,772,46.0,0.0627,,,0.001,1
mask-wearing-608pr,real world,105,15,29,149,2.0,0.788,0.513,0.898,0.008,1
cables-nl42k,real world,4816,794,1220,6830,11.0,0.688,0.722,0.76,0.01,1
